Neighbourhood,Population,Land Area,Density,Population %,Income,Commuting,2nd Language,2nd Language %,Latitudes,Longitudes
Sunnylea,17602.0,5.23,3366,-1.1,"51,398",13.0,Polish (5.2%),05.2% Polish,43.64159705,-79.5016654011084
Swansea,11133.0,3.76,2961,0.5,"58,681",18.3,Polish (3.0%),03.0% Polish,43.64494,-79.478313
Tam O'Shanter – Sullivan,27235.0,5.44,5006,3.4,"27,717",12.2,Unspecified Chinese (12.6%),12.6% Unspecified Chinese,43.7792808,-79.3036989
The Annex,15602.0,1.47,"10,614",-2.3,"63,636",22.1,Spanish (1.3%),01.3% Spanish,43.6703377,-79.407117
The Beaches,20416.0,3.57,5719,7.8,"67,536",13.8,Cantonese (0.7%),00.7% Cantonese,43.6710244,-79.296712
The Danforth,7849.0,0.87,9022,-1.0,"44,979",23.3,Greek (7.4%),07.4% Greek,43.6864333,-79.3003555
The Elms,9437.0,2.86,3300,-3.3,"28,014",12.6,Spanish (6.1%),06.1% Spanish,43.6970746,-79.5217582
The Junction,11391.0,2.36,4827,22.8,"34,906",18.0,Portuguese (4.1%),04.1% Portuguese,43.6654775,-79.470352
The Kingsway,8780.0,2.58,3403,7.9,"110,944",11.8,Ukrainian (1.8%),01.8% Ukrainian,43.6473811,-79.5113328
The Queensway,6207.0,2.62,2369,3.0,"38,944",12.9,Italian (4.1%),04.1% Italian,43.6236182,-79.5147637
Thistletown,16790.0,3.97,4229,1.4,"28,955",11.2,Punjabi (8.6%),08.6% Punjabi,43.7372656,-79.5653169
Toronto Islands,627.0,3.17,198,-5.0,"43,344",18.3,None (0%),0% any,43.6230544,-79.39431563721035
Trinity–Bellwoods,8687.0,0.92,9442,-3.1,"31,106",17.7,Portuguese (13.6%),13.6% Portuguese,43.64756465,-79.41388090266673
Upper Beaches,19830.0,2.92,6791,0.5,"44,346",18.6,Cantonese (0.7%),00.7% Cantonese,43.6784881,-79.31081921166198
Victoria Village,17047.0,4.72,3612,2.5,"29,657",15.6,Urdu (3.2%),03.2% Urdu,43.732658,-79.3111892
Wallace Emerson,10338.0,0.88,"11,748",-1.8,"25,029",22.8,Portuguese (19.2%),19.2% Portuguese,43.6667328,-79.4464779
West Deane Park,4395.0,2.13,2063,1.0,"41,582",8.3,Ukrainian (2.3%),02.3% Ukrainian,43.6631995,-79.5685684
West Hill,25632.0,9.58,2676,-4.1,"27,936",14.6,Tamil (3.0%),03.0% Tamil,43.7689144,-79.1872905
West Rouge,9300.0,4.45,2090,-1.8,"44,605",14.1,Cantonese (2.8%),02.8% Cantonese,43.7859631,-79.1307556
Westminster,16386.0,2.37,6914,0.8,"27,826",14.6,Russian (31.4%),31.4% Russian,43.777454899999995,-79.44898325200244
Westmount,5857.0,1.04,5932,5.0,"35,183",9.6,Ukrainian (10.6%),10.6% Ukrainian,43.6936399,-79.5210426
Weston,16476.0,2.51,6564,-5.6,"27,446",15.5,Spanish (7.0%),07.0% Spanish,43.7001608,-79.5162474
Wexford,17844.0,7.97,2239,-3.2,"28,556",14.0,Filipino (4.5%),04.5% Filipino,43.7453767,-79.2947155
Willowdale,43144.0,7.68,5618,62.3,"39,895",15.6,Cantonese (7.9%),07.9% Cantonese,43.7615095,-79.4109234
Wilson Heights,13732.0,4.14,3317,1.9,"37,978",15.9,Filipino (6.2%),06.2% Filipino,43.7405195,-79.4400172
Woburn,48507.0,13.34,3636,-1.5,"26,190",13.3,Gujarati (9.1%),09.1% Gujarati,43.7598243,-79.2252908
Wychwood,4182.0,0.68,6150,-2.0,"53,613",17.1,Portuguese (2.7%),02.7% Portuguese,43.682121699999996,-79.42383883756801
York Mills,17564.0,7.29,2409,2.0,"92,099",10.0,Korean (4.0%),04.0% Korean,43.7440391,-79.406657
York University Heights,26140.0,13.21,1979,-1.2,"24,432",15.2,Italian (6.6%),06.6% Italian,43.7587808,-79.5194336
Yorkville,6045.0,0.56,"10,795",62.6,"105,239",18.3,French (1.9%),01.9% French,43.6713861,-79.3901677
